1074.88,Albuquerque
114.41,Anaheim
1086.22,Anchorage
400.08,Arlington
254.62,Atlanta
117.81,Aurora
1787.88,Austin
217.79,Bakersfield
7.98,Baltimore
481.09000000000003,Boise
1114.54,Boston
483.82,Buffalo
1648.77,Chandler
440.11,Charlotte
676.35,Chesapeake
146.15,Chicago
323.38,Cincinnati
427.43,Cleveland
392.5,Columbus
25.38,Corpus Christi
273.49,Dallas
413.21000000000004,Denver
134.89,Detroit
980.3199999999999,Durham
103.01,El Paso
370.55,Fort Wayne
1128.1399999999999,Fort Worth
465.66,Fremont
1185.8700000000001,Fresno
134.33,Garland
374.01,Gilbert
220.63,Glendale
749.73,Greensboro
717.5799999999999,Honolulu
1101.95,Houston
135.96,Indianapolis
208.16,Irvine
1330.18,Jacksonville
465.96000000000004,Jersey City
1093.66,Kansas City
146.65,Las Vegas
1080.47,Lexington
712.77,Lincoln
98.23,Long Beach
37.77,Los Angeles
1517.0800000000002,Lubbock
515.48,Madison
565.21,Memphis
384.8,Mesa
331.75,Miami
418.91,Milwaukee
504.42,Minneapolis
765.05,Nashville
1118.08,New Orleans
468.90999999999997,New York
39.75,Newark
669.25,Norfolk
409.26,North Las Vegas
501.99,Oakland
1811.89,Omaha
160.07,Orlando
1166.76,Philadelphia
955.31,Phoenix
1271.35,Pittsburgh
108.69,Portland
314.1,Raleigh
230.84999999999997,Reno
1106.01,Riverside
75.73,Rochester
172.06,Saint Paul
125.35,San Antonio
270.58,San Bernardino
448.92,San Diego
260.65,San Francisco
429.87,San Jose
922.3,Santa Ana
880.26,Scottsdale
934.39,Seattle
448.98,Spokane
187.44,St. Petersburg
247.18,Stockton
437.19,Tampa
605.23,Toledo
367.76,Tucson
431.95,Tulsa
647.6700000000001,Virginia Beach
650.48,Washington
460.38,Wichita
361.66,Winston�Salem
